timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
739,12234,2,5,5.1111,4,1,0.00118905
739,13266,4,11,5.45914,3,1,0.00126515
739,12236,8,16,7.80892,2,1,0.00258549
739,13268,1,8,4.0652,2,1,0.00258444
739,12238,1,5,4.56641,4,1,0.00118905
739,13270,3,5,4.54893,2,1,0.00258444
739,12240,2,9,4.51916,2,1,0.00258549
739,13272,1,5,4.62672,4,1,0.00118898
739,12242,16,8,7.9957,2,1,0.00258549
739,13274,11,7,6.55021,2,1,0.00258444
739,12244,9,6,6.05173,2,1,0.00258549
739,12246,3,6,6.45056,4,1,0.00118905
740,13283,6,14,7.1324,2,1,0.00258907
740,12257,4,12,5.90959,2,1,0.00258996
740,12257,4,8,7.64659,4,1,0.00119064
740,13285,6,5,5.34089,2,1,0.00258907
740,12259,1,5,4.62672,4,1,0.00119064
740,12259,4,11,5.45914,2,1,0.00258996
740,13287,2,5,5.1111,4,1,0.00119058
740,12261,8,16,7.80892,2,1,0.00258996
740,13289,1,5,4.56641,4,1,0.00119058
740,12263,3,7,6.54285,4,1,0.00119065
740,13291,2,9,4.51916,2,1,0.00258907
740,12265,1,8,4.0652,2,1,0.00258996
740,13293,9,6,6.05173,2,1,0.00258907
740,12267,3,5,4.54893,2,1,0.00258996
740,13295,3,6,6.45056,4,1,0.00119058
740,12269,16,8,7.9957,2,1,0.00258996
740,13297,11,7,6.55021,2,1,0.00258907
741,13307,6,14,7.1324,2,1,0.0025937
741,12278,4,8,7.64659,4,1,0.00119225
741,12263,2,5,5.1111,4,1,0.00119225
741,13309,4,12,5.90959,2,1,0.0025937
741,12280,6,5,5.34089,2,1,0.00259443
741,12265,1,5,4.56641,4,1,0.00119225
741,13311,4,11,5.45914,2,1,0.0025937
741,12282,8,16,7.80892,2,1,0.00259443
741,12267,3,6,6.45056,4,1,0.00119225
741,13313,3,7,6.54285,4,1,0.00119219
741,12284,1,5,4.62672,4,1,0.00119225
741,13315,1,8,4.0652,2,1,0.0025937
741,12286,2,9,4.51916,2,1,0.00259443
741,13317,3,5,4.54893,2,1,0.0025937
741,12288,9,6,6.05173,2,1,0.00259443
741,13319,16,8,7.9957,2,1,0.0025937
741,12290,11,7,6.55021,2,1,0.00259443
742,12272,3,7,6.54285,4,1,0.00119385
742,13328,4,8,7.64659,4,1,0.00119379
742,12299,6,14,7.1324,2,1,0.00259891
742,12301,2,5,5.1111,4,1,0.00119386
742,13330,6,5,5.34089,2,1,0.00259834
742,12303,4,11,5.45914,2,1,0.00259891
742,13332,4,12,5.90959,2,1,0.00259834
742,12305,1,5,4.56641,4,1,0.00119386
742,13334,8,16,7.80892,2,1,0.00259834
742,13336,1,5,4.62672,4,1,0.00119379
742,12307,1,8,4.0652,2,1,0.00259891
742,12309,3,5,4.54893,2,1,0.00259891
742,13338,2,9,4.51916,2,1,0.00259834
742,12311,16,8,7.9957,2,1,0.00259891
742,13340,9,6,6.05173,2,1,0.00259834
742,12313,3,6,6.45056,4,1,0.00119386
742,13342,11,7,6.55021,2,1,0.00259834
743,12275,4,8,7.64659,4,1,0.00119545
